raw_index,source,content,tokens
10,10,"Your scooter has two retractable 'Bag Hooks' to carry light luggage like carry bags weighing up to 3 kg. One hook is located below the handle bar on the rear panel and the other one is located on the cover front below the front end of seat. Your scooter has Motorcycle-like 'Telescopic Front Suspension' for extreme riding comfort even while riding on bad roads. Taking technological innovation to next level, your scooter comes with 'Synchronised Brake Technology (SBT)'. This feature enhances safety by avoiding skidding during sudden braking. Your scooter comes with gas filled 'Adjustable Rear Shock Absorber with Canister - First time in scooters. This allows you to adjust the required level of hardness/softness as per the usage requirement at just the push of a lever. Another important unique feature in your scooter is 'Tubeless Tyres'. Tubeless tyres reduce the chances of getting punctured. Even if there is a puncture, sudden leakage of air is avoided, thereby providing better safety and convenience. It is also very easy to repair the punctured tyres.",230
11,11,Scooter has 9FRONT GLOVE BOX with 2 litre storage capacity for holding mobiles while charging or a small bottle.,27
12,12,"TVs have accessories such as the Jupiter 125, a Smart Phone Charger, a Utility Box Light, an Indicator Beeper, a Lady Pillion Handle, and a Lady Pillion Foot Rest. The Smart Phone Charger is located below the right hand side of the handle bar and usage details can be found on page 35. The Utility Box Light lights up the utility box when the seat is open. The Indicator Beeper alerts the user when the turn signal indicators and side stand are 'ON'. The Lady Pillion Handle and Lady Pillion Foot Rest are optional and mandatory accessories, respectively.",121
13,13,"11Operating this vehicle safely is an important responsibility of the rider. To help the rider make decisions on safety, necessary operating procedure and other information is provided in this manual. This information alerts the rider on potential hazards that could hurt them or others. Since it is not possible to warn the rider about all the hazards associated with operating or maintaining the vehicle, they must use their own judgment.
Important safety information in this manual is provided in the following form: Warning - Disregarding this message might result in injury to the rider or deadly accidents; Caution - This message indicates special procedures or precautions to be followed to avoid damage to the vehicle; Note - This message provides further clarification for clear understanding of any particular information.",145
14,14,"Notice: Take time to become familiar with your TVS Jupiter 125 and its performance characteristics. This Owner's Manual contains useful information; please read it before riding your new TVS Jupiter 125. Become familiar with the operation of your scooter for maximum safety and pleasure. The more you know about your vehicle, the more enjoyable your riding experience will be. Ensure that anyone else riding your TVS Jupiter 125 does the same. All information, illustrations, photographs, and specifications in this Owner's Manual are based on the latest product information available at the time of publication. TVS Motor Company Limited may incorporate modifications or improvements to its vehicles at any time without notice, so it is possible that the relevant part of the Owner's Manual does not apply to your vehicle. Prior permission from TVS Motor Company Limited is required for quoting, copying, or reproducing any part of this Owner's Manual. Revision 0, Aug 2021. Accessories shown in the picture may not be part of the standard equipment. Pictures shown in this manual are of the TVS Jupiter 125 Drum brake sheet metal wheel model unless specified. Your scooter is provided with an Always Headlamp On (AHO) feature. The headlamp will automatically turn on once the engine is started. Since your vehicle is fitted with a side stand cut-off system, ensure to retract the side stand before starting the vehicle. Note.",277
15,15,"The first 1000 km is a crucial part of the scooter's operation. Proper running-in during this period helps to ensure maximum life and smooth performance. The reliability and performance of the scooter depends on the special care and restraint exercised during the running-in period. It is especially important to avoid operating the engine at high speed (RPM), which could expose the engine parts to excessive stress. The recommended speed during the running-in period is a maximum of 50 km/h up to 1000 km (varying the engine speed for better mating of parts). The first free service at 500-750 km is most important. During the running-in period, all engine components and other parts will have set in. All adjustments should be restored, all fasteners should be tightened, and the engine and transmission oil should be replaced. Timely performance of the first free service will ensure optimum service life and performance from the engine. Replacing the engine and transmission oil during the first service is most important for better engine life. Always use TVS TRU4 SKUUTA (SAE 10W30 API-SL, JASO MB) oil for better performance and life. Caution.",242
16,16,"""Safe riding tips and recommendations for two-wheeler riders include: familiarizing oneself with the new TVS Jupiter 125, wearing good quality two-wheeler riding apparel, knowing one's limits, wearing an ISI approved helmet that fits the head comfortably and securely, and wearing good quality goggles to protect the eyes and improve vision. Additionally, it is important to never consume alcohol or drugs before or during the operation of the vehicle, as even minimal consumption can affect the rider's ability to control the vehicle.""",101
17,17,"Proper vehicle riding starts with proper posture: keep elbows relaxed and flexible, sit and adjust on seat so that arms and shoulders are relaxed, look widely instead of gazing at one point, keep both hands firmly on the handle bar and both feet securely on the floor board, avoid use of mobile phones while riding, slow down to a safe speed before negotiating a corner, practice on a safe, open area to become thoroughly familiar with the operation of the vehicle. Cornering: reduce speed to lessen the effects of centrifugal force, avoid abrupt application of brake or sudden steering. Braking: close/release the throttle, hold the vehicle upright as you apply the brake, progressive application of brake is safer, apply both the brakes, close throttle and come to a slower speed while riding down hills, cornering and wet roads to avoid loss of control over the vehicle due to skidding.",176
18,18,"Cause of poor braking: 
1. Insufficient friction is generated if brake shoes/pads or drum/disc are worn out or if there is water or oil on them. 
2. Poor braking can also occur if the road surface is wet or the tyre surface is worn-out, as tyres do not take a firm hold on the surface, increasing the stopping distance. 
3. Approximately 60% of braking effect is from the front brake, so non-usage of the front brake can cause poor braking. 
4. As the vehicle speed increases, the stopping distance also increases progressively. 
5. Using only the front or rear brake is dangerous and can cause skidding and loss of control. 
6. Both brakes should be applied together and with great care on a wet road or other slippery surfaces. 
7. Abrupt braking on slippery or irregular roads can cause loss of rider control. 
8. Use extreme caution while selecting and installing accessories for the scooter, as the addition of unsuitable accessories can lead to unsafe operating conditions. 
9. Make sure that the accessories should not obstruct lighting, steering, suspension level and ground clearance. 
10. Additional electrical equipment is not acceptable as it will void the warranty terms of the vehicle.",263
19,19,"All TVS vehicles are tested in the factory for optimal fuel efficiency and CO levels. If adjustments are needed, the owner should consult a TVS Motor Company Authorised Main Dealer/Authorised Dealer. Adequate care is taken at the factory to ensure emissions are within limits, but it is essential for the owner to maintain the TVS Jupiter 125 in good condition by getting it periodically checked and serviced by a TVS Motor Company Authorised Main Dealer/Authorised Dealer to maintain emission and fuel consumption levels as per norms. The engine of the TVS Jupiter 125 is equipped with a closed crankcase ventilation system to prevent discharging crankcase emissions into the atmosphere. The vehicle is also equipped with an evaporative emission control system which consists of a canister and associated piping to prevent the escape of fuel vapors from the fuel tank. The vehicle is tested and certified for emission which meets BS VI emission norms and is valid for initial 12 months from the date of purchase. The owner should get the vehicle certified by a Government authorised emission testing station after initial 12 months of usage and ensure to get the vehicle certified on expiry of the certificate obtained. If there is any abnormal jerk, startability issue or noise due to sudden escape of gas during opening of fuel tank cap, the owner should immediately report to a TVS Motor Company Authorised Main Dealer/Authorised Dealer.",275
20,20,"The vehicle can be identified from others of the same model and type by the frame and engine serial numbers. The frame serial number is stamped on the frame, at the rear end below the seat assembly. The engine serial number is stamped on the left side of the engine, at the bottom, near center stand mounting.",63
21,21,"Speedometer assembly, Rear view mirror R, Right hand brake lever, Throttle grip, Engine kill switch, Electric starter switch, Smart phone charger, All in one lock, Glove box, Bag hook (front), Fuel tank cap, Horn switch, Turn signal lamp switch, Left hand brake lever, Parking brake, Rear view mirror L, High/low beam cum pass-by switch.",79
22,22,"Location_of_Parts: Vehicle_Left_Side
1. Rear_Brake_Adjusting_Nut
2. Effortless_Easy_Center_Stand
3. Side_Stand
4. Pillion_Foot_Rest_L
5. Speedometer_Cable
6. Front_Brake_Adjusting_Nuts
7. Pillion_Handle
6 17
234 5",86
23,23,"Front_wheel_axle_nut, Bag_hook_(rear), Cover_front, Pillion_foot_rest_R, Gauge_oil_level, Muffler_assembly, Rear_fender, Seat_assembly, 1, 5, 6, 7, 4, 8, 3, 2",66
24,24,"Location_of_Parts: Vehicle_Front, Vehicle_Rear
Front:
1. LED_Head_lamp
2. Head_lamp_focus_adjuster
3. Turn_signal_lamp_front_LH
4. Turn_signal_lamp_front_RH
5. Throttle_cable_adjuster
Rear:
1. Turn_signal_lamp_rear_RH
2. Tail/brake_lamp
3. Transmission_oil_level_screw
4. Reflex_reflector
5. Turn_signal_lamp_rear_LH
Accessory: License_plates, Mandatory, Extra_charge",153
25,25,"Leaving the ignition cum steering lock in the 'ON' position will drain the battery when the vehicle is not in use. To prevent this, switch 'OFF' and take the key out when the vehicle is not in use. For safety, always lock the steering. Caution: Never attempt to move the vehicle when the steering is locked, as it may cause loss of balance. Warning: TVS Jupiter 125 comes with an 'All in One Lock' with five positions: 'OFF' (all electrical circuits are turned 'OFF' and engine will not start; key can be taken out), 'ON' (all electrical circuits are turned 'ON' and engine can be started; key cannot be removed), and 'Steering LOCK' (steering can be locked in both 'left' and 'right' directions; push the key 'IN', turn it to the 'LOCK' position, take out; all electrical circuits are turned 'OFF'; insert the key into the lock and turn it to 'OFF' or 'ON' position to unlock the steering). Note: When you switch on the ignition key, the pump priming noise may be heard, which is normal. Avoid frequent 'SWITCH-OFF & ON' of ignition key to avoid unnecessary run of fuel pump. The speedometer back illumination, tail lamp and license plate lamp will glow automatically once the ignition key is turned 'ON' without activating any other switches.",290
26,26,"To unlock the seat of the TVS Jupiter 125, keep the key in the 'OFF' position and turn it anticlockwise without pushing the key 'IN'. To lock the seat, press the seat at the rear end until a 'Click' sound is heard. To unlock the fuel tank cap, keep the key in the 'OFF' position, push the key 'IN' and turn it clockwise. The tank cap will open automatically. To close the fuel tank cap, press the cap at the front end until a 'Click' sound is heard. When closing the fuel tank cap, press at the dotted mark area of the cap for easy closing.",133
27,27,"25SPEEDOMETER ASSEMBLY: 
1. Turn signal indicator lamp left (): Flashes when the left side turn signal indication is activated. 
2. Speedometer: Indicates vehicle speed in kilometers per hour. 
3. Turn signal indicator lamp right (): Flashes when the right side turn signal indication is activated. 
4. Low fuel warning indicator lamp (LFI): Safety indicator to caution user to fill petrol as soon as possible. Minimum 1.5 liter of fuel should be maintained in the fuel tank to avoid engine switch ‘OFF’ / damage to fuel pump which leads to replacement of pump without warranty. Note: LFI is not a mileage calculating medium and should not be used for measurement of fuel consumption. 
5. Fuel gauge: Indicates approximate quantity of fuel available in the fuel tank. 
6. ODO meter: Registers and displays total distance covered by the vehicle in kilometers. Last digit of the odometer denotes one tenth of a kilometer. Note: Fuel gauge is not a mileage calculating medium and should not be used for calculating the vehicle mileage.",232
28,28,"Economy indicator (green lamp): indicates that the vehicle is running in economy mode, which gives better fuel economy.
Power indicator (amber lamp): indicates that the vehicle is running in power mode, which results in reduced fuel economy.
Malfunction indicator lamp (MIL) (ON): is turned 'ON' when the ECU detects a fault in the EFI system. If the MIL is glowing continually even after starting the engine, immediately contact the nearest TVS Motor Company Authorised Main Dealer / Authorised Dealer.
Side stand indicator (ON): The side stand warning indicator turns 'ON' along with the buzzer to alert you when the vehicle's side stand is deployed. The vehicle will not start in this condition.
High beam indicator lamp (ON): Glows either when the head lamp high beam or the pass-by is activated.",174
29,29,"TVS Jupiter 125 comes with a LED head lamp which glows automatically once the engine is started. The head lamp beam (high / low) can be controlled by changing the beam control switch position to 'Low' or 'High' beam. On the handle bar left side, press the switch '1' to operate the horn. Slide the turn signal lamp switch to the left '2' or right side '3' to operate respective turn signal lamps (LH / RH). Press the switch '4' to turn 'OFF'. Warning: Always use the appropriate turn signal lamps when you intend to change lanes or take turns. Be sure to switch 'OFF' it after negotiating the lanes or turns.",142
30,30,"Synchronised Braking Technology (SBT) can be operated by pressing the left hand brake lever gently towards the handle grip. SBT technology helps to operate both front and rear brakes by distributing the force optimally between the two braking systems. To activate the brake lock, press the brake lever almost half towards the grip and hold, then press the parking brake lever to the maximum and release the brake lever slowly. Ensure the brake is locked properly. Pressing the brake lever further releases the brake lock automatically. It is essential to maintain the brake system in good condition and adjust the brakes system at regular intervals for the proper working of SBT. Ensure to release the brake lock before riding the vehicle. The head lamp glows automatically once the engine is started. Only the head lamp beam (high/low) can be controlled by pressing the ‘high/low beam’ switch. Press the switch towards ‘high’ to operate head lamp high beam or press it towards ‘low’ to operate head lamp low beam. To operate the pass-by, keep the switch in low beam position and gently press & release the switch. This makes the head lamp high beam to flash and signal the approaching vehicle. Use appropriate head lamp beam ‘high/low’ as per the traffic and road conditions for safety and to avoid inconvenience to other riders. It is strongly recommended to ride the vehicle in ‘low beam’ during day time.",294
31,31,"Engine kill switch is used to switch 'OFF' the engine but to keep the other DC system active. With the ignition 'ON' condition, keep the switch in 'OFF' position, turns 'OFF' engine alone. Keeping the switch in 'DISABLE' position disables the ignition circuit and prevents the engine from being restarted. To restart the engine, position the switch to the 'ON' position. Right hand brake lever can be operated by pressing the right hand brake lever gently towards the throttle grip. The brake lamp glows on application of either right hand or left hand brake lever. Engine speed is controlled by the rotation of the throttle grip. Twist it towards you to increase the engine speed and twist it away from you or release it to decrease the engine speed. Press the starter switch 'ON' to start the engine electrically along with the application of either of the brake while keeping the engine kill switch in 'ON' position and side stand in retracted condition. Before starting, ensure to turn 'ON' the engine kill switch and retract the side stand. Note: It is not recommended to add any additional throttle grip (cover) to the vehicle.",234
32,32,"The fuel tank is located at the front end of the vehicle below the handle bar. To open the fuel tank cap, follow the procedure given in page no. 24. To close the cap, gently press the cap in its position and ensure its locking by hearing a 'Click' sound. Note that the fuel tank is not a measuring instrument and the capacity of the fuel tank may slightly vary from the indicated capacity. Caution: Ensure that the fuel gun is inserted fully into the tank neck while refueling. Whenever refueling the scooter, fill only the recommended quantity of fuel. While refueling, avoid spillage of petrol on the tyre, as it will cause the tyre to lose its grip on the road. Ensure to close the fuel tank cap without fail to avoid fuel spillage. Warning: Never refill fuel near open flame. Do not smoke while refueling. Do not use cell phones while refueling. While closing the fuel tank cap, press at the dotted mark area of the cap for easy closing.",204
33,33,"TVS Jupiter 125 is equipped with a effortless center stand. The center stand has a pivoted flexible spring loaded lever arm (stand extension) to increase the lever ratio, which enables parking on center stand effortlessly and very conveniently. To place the vehicle on center stand, hold the handle bar left grip with left hand and place your foot firmly on the center stand extension and press. The side stand can be operated by sitting on vehicle with your left foot by pushing it away from the vehicle till it stops. Caution: Never sit on vehicle when it is supported by stands. Always park the vehicle on a flat, firm surface. If the side stand is deployed before starting the vehicle, the vehicle will not get started. And if the side stand is deployed with the engine running condition, the engine gets of automatically to ensure the safety. If there is a error in the side stand sensor the indication will blink and the vehicle will not start. In such condition, please visit the nearest TVS Motor Company Limited Authorised Main Dealer / Authorised Dealer. Note.",212
34,34,"A tool kit and first aid kit are supplied with the vehicle and located below the seat base. To access the tool kit, the seat needs to be opened. Refer to page 24 for instructions on how to open the seat. It is recommended to use the tool kit in case of emergency only and it is advised to take the vehicle to a TVS Motor Company Authorised Main Dealer/Authorised Dealer for any repairs. The tool kit consists of one 10x12 mm spanner, one combination screw driver bit, one screw driver handle, and one tool bag. Do not remove the tool kit and first aid kit from the vehicle and ensure to keep them with the vehicle. The first aid equipments should be changed periodically based on the date of expiry.",152
35,35,"The utility box is located below the seat and can be accessed by unlocking the seat lock as explained on page 24. Warning: Operating the TVS Jupiter 125 overloaded will affect the riding stability and may lead to loss of control, so it is recommended to only carry the recommended amount of load. Caution: The utility box has a storage space of 33 liters and should not be used to store perishable items as it is not fully sealed. Do not allow or spray water to get inside the utility box, and take care not to spill petrol or oil into it. Heat-sensitive items should not be kept inside as it may get hot on long rides, and valuable items should not be kept inside when leaving the vehicle unattended.",147
36,36,"TVS Jupiter 125 is provided with a glove box front which has a storage capacity of 2 liters and can be used to hold mobiles while charging or a small bottle. It is important to ensure that any material stored in the glove box front is safely held while riding the scooter. It is also recommended not to keep belongings in the vehicle when it is parked unattended. There are two bag hooks provided with the scooter to carry light luggage such as carry bags weighing up to 3 kg. One hook is located below the handle bar on the rear panel and the other is located on the cover front below the front end of the seat assembly. To use the hooks, pull them out from the top (A) and hang the luggage. Push the hook back to its original position once it is free.",162
37,37,"Care should be taken not to attach luggage which hangs out of the scooter, as it should not interfere with feet movement. There is a smart phone charging socket located below the handle at the right side of the vehicle. It is recommended to use a suitable USB cable recommended by the mobile phone manufacturer for that particular model. When using the socket, ensure that no water enters by closing the USB flap properly, use only mobile phone company's authorized USB cable for mobile charging, and do not damage the flap while opening/inserting the USB cable. Do not leave the USB charging flap open/partially closed, do not attempt to use/charge any other device other than one mobile phone at a given time, do not try to force the USB connector in, do not charge the mobile when the engine is in 'OFF' condition, and do not use other device as this port is for charging mobile phones only.",183
38,38,"Secure mobile phone properly during charging to protect it from liquid, dust, etc. Charging time of mobile may vary depending on battery's state of charge. Flap in unit is designed to prevent water entry and is not replaceable. No warranty for charger if flap is damaged. Caution: Ensure seat is fully closed to avoid battery drain due to continuous glowing of utility box light. Note: Mandatory and optional accessory will be charged extra. TVS Jupiter 125 comes with provision for fixing utility box light located in utility box of vehicle (refer page 24 for opening seat). Light glows once seat is opened if fixed and gets 'OFF' when seat closed automatically.",134
39,39,"Do not switch 'ON' the ignition without minimum level fuel in tank; it will cause damage to the fuel pump. Caution: Pre-ride inspection. Check the following items before riding: Engine oil (availability of oil up to the level, page no. 50); Transmission oil (availability of oil up to the level, page no. 51); Fuel (enough fuel for the planned distance of running); Tyres (correct pressure, page no. 57; adequate tread depth; no cracks or cuts); Battery (proper working of electric starter, horn, fuel gauge, pass-by, brake lamp, tail lamp, speedo back illumination, license plate lamp and turn signal lamps); Lighting (proper working of head lamp high/low beam and high beam indicator); Steering (smooth movement; no play or looseness); Throttle (correct free play of cable; smooth operation); Brakes (correct front and rear brake lever play, page no. 52 & 54); Wheels (free rotation); Malfunction indicator (turned 'OFF' after the engine is started, page no. 26); ISG malfunction indicator (turned 'OFF' after the ignition 'ON' and engine is started, page no. 26).",248
40,40,"Ensure fuel is in fuel tank. Insert control key into ignition cum steering lock and turn to 'ON' position. Turn engine kill switch to 'OFF' position and retract side stand. Apply one of the brakes and press electric starter switch to start vehicle. Press start button (one touch noiseless start) without applying throttle. As soon as engine starts, release start button. Engine will not start if throttle is opened. Twist throttle grip slowly towards you and simultaneously release brake lever gently and smoothly. Vehicle will start moving forward. As vehicle picks up speed, increase throttle slowly. Close throttle completely and apply both brakes simultaneously. Turn engine kill switch to 'OFF' position. Turn ignition 'OFF'. Park vehicle on firm, flat surface. Lock steering and take out control key. Do not keep engine in idling rpm for long and do not open excessive throttle when vehicle is parked. It leads to overheating of engine and damage to internal components. Caution: Do not raise throttle rapidly so vehicle will move forward suddenly and lead to loss of control. Reduce speed to safe limit before turning/cornering. Do not apply brake while turning/cornering.",235
41,41,"""39Caution: Never mix oil in petrol in the fuel tank. Always fill fuel from reputed and reliable fuel stations. CHECKS AND TIPS FOR IMPROVING FUEL ECONOMY: Regular checks: Carry out periodic maintenance checks as specified in this manual (page no. 42). Regular maintenance checks will save fuel and ensure trouble-free, enjoyable and safe riding besides keeping environment clean. Spark plug: A dirty or defective spark plug leads to wastage of fuel due to incomplete combustion. Inspect and clean the spark plug only if necessary. Replace the spark plug every 12000 kms (1 year). Always use recommended spark plug only. Air cleaner element: A dirty air cleaner element restricts airflow and increases fuel consumption. Replace the element every 12000 kms. Since paper filter is used in the scooter, it is not recommended to clean the filter. Replace the filter in case of any abnormalities. FUEL RECOMMENDATION: Use only BS VI petrol with minimum RON 91. BS VI petrol containing up to 10% of ethanol by volume can be used. Higher ethanol content in petrol can degrade plastic and rubber components of fuel system and vehicle parts, cause corrosion damage to metal parts like fuel tank, etc., result in startability & drivability issues, and decrease fuel economy. Ethanol absorbs water very easily, resulting in fuel separation. Extra care shall be taken to prevent moisture entry into fuel tank while filling ethanol blended petrol and",298
42,42,"Engine oil and transmission oil are important for the proper functioning of a vehicle. Dirty or less engine oil increases friction between various parts of the engine and reduces engine life, resulting in increased fuel consumption. Running with low transmission oil will cause damage to the gears and bearings. Regularly inspect the engine oil and transmission oil for correct level and top-up if necessary. Get it replaced at regular intervals as per the maintenance schedule. Inspect and arrest fuel leaks if any from tank and fuel lines. Vehicle parked in the hot sun leads to wastage of fuel through evaporation. Ensure to close fuel tank cap after every filling. Low tyre pressure has adverse effect on the vehicle, resulting in decreased fuel economy. Inspect the tyre pressure regularly (weekly) and inflate it to the recommended pressure. Inspect and ensure the wheel freeness by rotating the wheels at least once in a week to avoid wastage of fuel. While waiting for someone or stopping in signals for long time, if the engine is kept running at idle speed, it causes unnecessary wastage of fuel. Anticipate corners and slopes as well as the traffic conditions. Unnecessary and frequent braking will reduce the fuel economy. Never accelerate and apply brake simultaneously. It leads to clutch shoes wear and wastage of fuel.",255
43,43,"41MAINTENANCE: MAINTENANCE SCHEDULE indicates the intervals between periodic services. At the end of each interval, inspect, check, replace, adjust, lubricate and service as instructed. If maintenance is not done periodically, it will result in rapid wear and severe damage to the vehicle. If vehicle is used under high stress conditions such as continuous full throttle operation or if used/operated in dusty climate, certain jobs should be performed more often to ensure reliability of the vehicle. Cylinder head, steering components, suspension and wheel components etc., are key items and require very special and careful servicing. TVS Motor Company Limited recommends that jobs as per the maintenance schedule be performed by TVS Motor Company Authorised Main Dealer/Authorised Dealer. Periodic inspections may reveal one or more parts that may need replacement. Whenever replacing parts on TVS Jupiter 125, use only TVS Motor Company Genuine parts. Proper running-in and maintenance are mandatory for making certain that vehicle is reliable and gives optimum performance at all times. Make sure that periodic maintenance is performed thoroughly in accordance with instructions given in owner’s manual. In more dusty areas, air filter element requires early replacement than mentioned kilometers to avoid costly damages to engine. Caution.",253
44,44,"Periodic_Maintenance_Schedule (months or km whichever occurs earlier): 
Service: km 
Period_From_Date_of_Sale: PRE_RIDE_CHECKFREE_SERVICEAFTER_FREE_SERVICE 
Remarks: 
1st: 500 ~ 750, 30 ~ 60 days 
2nd: 5500 ~ 6000, 6 months 
3rd: 11500 ~ 12000, 12 months 
Every: 6000 km / 6 months 
Items_Activity: 
Engine_oil/Oil_filter_(strainer): Replace_or_Inspect_and_top-up, R/C, R/C, R/C, R/C, Clean_strainer 
Transmission_oil: Replace_or_Inspect_and_top-up, -, -, -, -, Replace_every_24000_km 
Spark_plug: Inspect_and_clean_or_Replace, I, -, R, Inspect_and_clean_if_required. Replace_every_12000_km 
Air_cleaner_element: Replace, -, -, -, R, Replace_every_12000_km 
Tappet_clearance: Inspect_and_adjust, I, I_&_A, I_&_A, I_&_A, Inspect",298
45,45,"43SERVICE km PERIOD FROM DATE OF SALE: PRE RIDE CHECKFREE SERVICEAFTER FREE SERVICEREMARKS: 1st 500 ~ 750 30 ~ 60 days; 2nd 5500 ~ 6000 6 months; 3rd 11500 ~ 12000 12 months; Every 6000 km / 6 months. ITEMS ACTIVITY: All fasteners - Inspect and Tighten (I, I, I, I - Tighten if required); All bulbs, horn and switches - Inspect for proper functioning (I, I, I, I); Head lamp beam (focus) - Inspect and Adjust (I, -, I, I - Adjust if required); Battery Voltage (recharge if required) - Inspect (-, -, I, I - Through diagnostic tool or at battery terminal); Brake effectiveness / play - Inspect, Adjust & Lubricate at cable ends (I, L & A, I, L & A, I, L & A, I, L & A); Brake cam - Clean and Lubricate (-, -, C & L, -, - - At 6000 km and every 18000 km thereafter if necessary); Wheels / Tires - Inspect (I, -, I, I - Set tyre pressure if required); MIL codes - Inspect (I, -, I, I - Connect ride scan tool if MIL glows in speedometer); Check and clear DTCs (R - Replace; I - Inspect",298
