raw_index,source,content,tokens,noise_content
10,9,"The scooter has a 'Engine Kill Switch' feature which allows the engine to be shut without switching 'OFF' the ignition. It also has a front fuel filling system for hassle-free fuel filling without getting off the vehicle. The seat is the longest in its category with 790 mm length for comfortable travel. It also has a premium LED head lamp for better visibility during night rides. It has a patented 'E-Z Center Stand' which reduces the effort required to place the scooter on stand. Additionally, it has a 'Parking Brake' feature which protects the scooter from falling due to wheel rotation when it is parked with the side stand on a slope. Lastly, it has a 33 litre under-seat storage space to carry luggage and two helmets.",157,"7
7ENGINE KILL SWITCH
‘Engine Kill Switch’ is an another 
unique feature of your scooter 
which allows you to shut the engine 
without switching ‘OFF’ the ignition.
FRONT FUEL FILL
Front fuel filling system enables you 
to hassle free fuel filling without 
even getting off from the vehicle.
SEAT ASSEMBLY
Longest seat in its category with 
790 mm length for comfortable 
travel of your family members.
LED HEAD LAMP 
Your scooter comes in with a 
premium LED head lamp. Efficient 
and bright, this gives your scooter a 
totally upgraded Look and Style with 
better visibility for night rides.
PATENTED E-Z CENTER STAND
E-Z Center Stand of your scooter 
reduces the effort required to place 
the scooter on stand. Refer page no. 
31 for operating procedure.
PARKING BRAKE (REAR BRAKE 
LOCK)
‘Parking Brake’ is another unique 
safety feature which protects your 
scooter from falling due to wheel 
rotation when it is parked with the 
side stand on a slope. Refer page 
no. 28 for details.
UNDER-SEAT STORAGE (UTILITY 
BOX)
Your scooter has a 33 litre under-
seat storage space to carry your 
luggage belongings, two helmet 
etc., refer page no. 33 for details."
11,10,"Your scooter has two retractable 'Bag Hooks' to carry light luggage like carry bags weighing up to 3 kg; one hook is located below the handle bar on the rear panel and the other one is located on the cover front below the front end of seat. It also has a Motorcycle-like 'Telescopic Front Suspension' for extreme riding comfort even while riding on bad roads. Additionally, it comes with 'Synchronised Brake Technology (SBT)' to enhance safety by avoiding skidding during sudden braking. Furthermore, it has a gas filled 'Adjustable Rear Shock Absorber with Canister - First time in scooters', allowing you to adjust the required level of hardness/softness as per the usage requirement at just the push of a lever. Lastly, it has 'Tubeless Tyres' which reduce the chances of getting punctured and provide better safety and convenience.",185,"8RETRACTABLE BAG HOOKS
Your scooter has two retractable 
‘Bag Hooks’ to carry light luggage 
like carry bags weighing upto 3 kg.
One hook is located below the 
handle bar on the rear panel and the 
other one is located on the cover 
front below the front end of seat.
TELESCOPIC FRONT FORK
Your scooter has Motorcycle-like 
‘Telescopic Front Suspension’ for 
extreme riding comfort even while 
riding on bad roads.
SYNCHRONISED BRAKE 
TECHNOLOGY (SBT)
Taking technological innovation to 
next level, your scooter  comes with 
‘Synchronised Brake Technology 
(SBT)’. This feature enhances the 
safety by avoiding skidding during 
sudden braking.
GAS FILLED ADJUSTABLE REAR 
SHOCK ABSORBER
Your scooter comes with gas filled 
‘ Adjustable Rear Shock Absorber 
with Canister - First time in scooters. 
This allows you to adjust the 
required level of hardness / softness 
as per the usage requirement at just 
the push of a lever.
TUBELESS TYRES
Another important unique feature 
in your scooter is ‘Tubeless Tyres’. 
Tubeless tyres reduce the chances 
of getting punctured. Even if there 
is a puncture, sudden leakage of air 
is avoided, thereby provide better 
safety and convenience. It is also 
very easy to repair the punctured 
tyres. 
TUBELESS"
12,11,Scooter is equipped with a 9FRONT GLOVE BOX with a storage capacity of 2 litres. It can be used to store mobile phones while charging or to hold a small bottle.,38,"9
9FRONT GLOVE BOX
Your scooter is provided with glove 
box front. Which has 2 litre storage 
capacity and used to hold your 
mobiles while charging or hold a 
small bottle."
13,12,Accessories for TVS Jupiter 125: Smart Phone Charger - located below the right hand side of the handle bar (refer to page 35 for usage details). Utility Box Light - lights up the utility box automatically when the seat is open. Indicator Beeper - electronic beeper alerts when turn signal indicators and side stand is 'ON' (mandatory accessory). Lady Pillion Handle - provision for mounting (optional accessory). Lady Pillion Foot Rest - provision for fit (mandatory accessory).,100,"10ACCESSORIES FOR YOUR TVS 
JUPITER 125 
SMART PHONE CHARGER*
Your scooter has provision for fixing 
a socket for charging your smart 
phone even while you are traveling 
and it is located below the right 
hand side of the handle bar. Refer 
page no. 35 for usage details.
UTILITY BOX LIGHT*
Your scooter has a provision to fix 
‘Utility Box Light‘ which lights up the 
utility box automatically whenever 
the seat is open.
INDICATOR BEEPER*
Your scooter has an electronic 
beeper which alerts you that the 
turn signal indicators and side stand 
is ‘ON’. This beeper comes as a 
mandatory accessory.
* Mandatory and optional accessory will be charged extraACCESSORIES
LADY PILLION HANDLE*
Provision for mounting ‘Lady pillion 
handle’ is provided in your scooter. 
Lady pillion can be purchased as 
optional accessory.
LADY PILLION FOOT REST*
Your scooter has a provision fit ‘Lady 
pillion foot rest’ for easy resting of 
legs for the ladies tavels as a pillion 
and it is a mandatory accessory."
14,13,"Rider safety is an important responsibility when operating this vehicle. To help make informed decisions, this manual provides necessary operating procedures and other information to alert the rider of potential hazards that could cause injury or death. It is not possible to warn of all hazards associated with operating or maintaining the vehicle, so the rider must use their own judgement. This manual contains important safety information in the form of warnings, cautions, and notes. Disregarding this message may result in injury or deadly accidents. Warning messages indicate special procedures or precautions to be followed to avoid damage to the vehicle. Caution messages provide further clarification for clear understanding of any particular information. Note messages provide additional safety information.",136,"11
11Operating this vehicle safely is an important responsibility of the rider. To help you make decisions on safety, we 
have provided necessary operating procedure and other information in this manual. This information alerts you on 
potential hazards that could hurt you or others. Since it is not possible to warn you about all the hazards associated 
with operating or maintaining the vehicle, you must use your own judgment.
You will find important safety information in following form in this manual. These words carry the following connotations:
Disregarding this message might result in injury to the rider or deadly accidents.Warning
This message indicates special procedures or precautions to be followed to avoid damage to the vehicle.Caution
This message provides further clarification for clear understanding of any particular information.NoteSAFETY INFORMATION"
15,14,"Notice: Familiarize yourself with your TVS Jupiter 125 and its performance characteristics by reading this Owner's Manual. Ensure that anyone else riding your TVS Jupiter 125 does the same for maximum safety and pleasure. All information, illustrations, photographs and specifications contained in this owner's manual are based on the latest product information available at the time of this publication. TVS Motor Company Limited may, however, incorporate modifications or improvements on its vehicles at any time without notice. Prior permission of TVS Motor Company Limited is required for quoting, copying or reproducing any part of this owner's manual. Revision 0, Aug 2021. Accessories shown in the picture may not be part of the standard equipment. Pictures shown in this manual are of TVS Jupiter 125 Drum brake sheet metal wheel model unless specified. Your scooter is provided with always glowing head lamp (AHO), which glows automatically once the engine is started.",182,"12NOTICE
Take time to familiarize yourself with your TVS Jupiter 125 and its performance characteristics. 
This Owner‘s Manual contains a host of useful information. Please take the time to read this manual before you ride 
your new TVS Jupiter 125. Get familiarised with the operation of your scooter for maximum safety and pleasure. The 
better you know your vehicle, the more pleasure you will experience riding your new vehicle. Ensure that anyone else 
riding your TVS Jupiter 125 does the same. 
All information, illustrations, photographs and specifications contained in this owner’s manual are based on the latest 
product information available at the time of this publication. TVS Motor Company Limited may, however, incorporate 
modifications or improvements on its vehicles at any time without notice, and therefore, in such events it is possible 
that the relevant part of the owner‘s manual does not apply to your vehicle.
Prior permission of TVS Motor Company Limited is required for quoting, copying or reproducing any part of this 
owner’s manual.
                               Revision 0, Aug 2021Accessories shown in the picture may not be part of the standard equipment.
Pictures shown in this manual are of TVS Jupiter 125 Drum brake sheet metal wheel model unless specified.
Y our scooter is provided with always glowing head lamp (AHO). The head lamp glows automatically once the 
engine is started."
16,14,"Your scooter is equipped with an Always-On Headlamp (AHO). The headlamp will automatically turn on when the engine is started. Make sure to retract the side stand before starting the vehicle, as your vehicle is fitted with a side stand cut-off system. Note.",59,"Y our scooter is provided with always glowing head lamp (AHO). The head lamp glows automatically once the 
engine is started.
Since your vehicle is fitted with side stand cut-off system ensure to retract the side stand before starting the 
vehicle.Note"
17,15,"The first 1000 km is a crucial part of the scooter's operation. Proper running-in during this period helps to ensure maximum life and smooth performance. The reliability and performance of the scooter depends on the special care and restraint exercised during the running-in period. It is especially important to avoid operating the engine at high speed (RPM), which could expose the engine parts to excessive stress. The recommended speed during the running-in period is a maximum of 50 km/h up to 1000 km (varying the engine speed for better mating of parts). The first free service at 500-750 km is most important. During the running-in period, all engine components and other parts will have set in. All adjustments should be restored, all fasteners should be tightened, and the engine and transmission oil should be replaced. Timely performance of the first free service will ensure optimum service life and performance from the engine. Replacing the engine and transmission oil during the first service is most important for better engine life. Always use TVS TRU4 SKUUTA (SAE 10W30 API-SL, JASO MB) oil for better performance and life. Caution.",242,"13
13The first 1000 km is a crucial part of your scooter. Proper running-in operation during this period helps in ensuring a 
maximum life  and smooth performance  of your scooter.
The reliability and performance of your scooter depends on the special care and restrain exercised during the      
running-in period. It is especially important that you avoid operating the engine in high speed (RPM), which could 
expose the engine parts to excessive stress. Recommended speed during the running-in is:
Maximum 50 km/h speed upto 1000 km  (vary the engine speed for better mating of parts).
The first free service at 500 ~ 750 km is most important . During running-in period all the engine components and 
other parts will have set in. All adjustments to be restored, all fasteners to be tightened. Engine and T ransmission 
oil to be replaced . Timely performance of the first free service will ensure optimum service life and performance 
from the engine.RUNNING-IN INFORMATION
Replacing the engine and transmission oil during first service is most important for better life of engine. Always use TVS 
TRU4 SKUUTA (SAE 10W30 API-SL, JASO MB) oil for better performance and life.Caution"
18,16,"""Safe riding tips and recommendations for two-wheeler riders include: familiarizing oneself with the new TVS Jupiter 125, wearing good quality two-wheeler riding apparel, knowing one's limits, wearing an ISI approved helmet that fits the head comfortably and securely, and wearing good quality goggles to protect the eyes and improve vision. Additionally, it is important to never consume alcohol or drugs before or during the operation of the vehicle, as even minimal consumption can affect the rider's ability to control the vehicle.""",101,"14SAFE RIDING TIPS
SAFE RIDING RECOMMENDATIONS
Any two wheeler riding requires some precautions to be taken to ensure the safety of the rider, pillion rider and other 
road users. These precautions are: 
Familiarise yourself with new TVS Jupiter 125
Riding skill and your mechanical knowledge form the foundation of safe riding practices. We suggest you to practice 
riding TVS Jupiter 125 in a low-traffic condition until you are thoroughly familiar with your vehicle and its controls. 
Remember practice makes you perfect. 
Riding apparel
Loose, fancy clothing can be uncomfortable and unsafe when riding a two-wheeler. Choose good quality two wheeler 
riding apparel.
Know your limits
Ride within the boundaries of your own skill at all times. Knowing these limits and staying within them will help you 
avoid accidents.
T wo wheeler safety starts with wearing a good quality helmet . One of the most serious injuries that can happen is a 
head injury. Always wear an ISI approved helmet that should fit your head comfortably and securely. You should also have 
good quality goggles to protect your eyes and help your vision.
To prevent or minimize accident, never consume alcohol or drugs before or during the operation of your vehicle. Even minimal 
consumption of these will affect the rider’s ability to control the vehicle.Warning"
19,17,"Proper vehicle riding starts with proper posture: keep elbows relaxed and flexible, sit and adjust on seat so that arms and shoulders are relaxed, look widely instead of gazing at one point, keep both hands firmly on handle bar and both feet securely on floor board, avoid use of mobile phones while riding, slow down to a safe speed before negotiating a corner, practice on a safe, open area to become familiar with operation of vehicle, reduce speed when cornering to lessen effects of centrifugal force, avoid abrupt application of brake or sudden steering, master braking techniques by closing/releasing throttle, holding vehicle upright as applying brake, progressive application of brake is safer, and apply both brakes (SBT provides additional braking even when only rear brake is applied).",150,"15
15Posture
Proper vehicle riding starts with proper posture.
1. Keep your elbows relaxed and flexible.
2. Sit and adjust yourself on seat so that arms and 
shoulders are relaxed.
3. Look widely instead of gazing at one point.
One-hand riding is dangerous.  Keep both hands firmly 
on the handle bar and both feet securely on the floor 
board. Under no circumstances should both the hands 
be removed from the handle bar, as it is very dangerous.
Avoid use of mobile phones while riding as it could 
lead to fatal accident.
Slow down to a safe speed before negotiating a corner. 
If this is the first time that you are riding a vehicle of this 
type, we suggest that you practice on a safe, open area 
to become thoroughly familiar with the operation of the 
vehicle.WarningCornering
When cornering, centrifugal force works in a direction 
perpendicular to the direction in which the vehicle 
is moving. Centrifugal force increases in proportion 
with speed and the radius of the corner.
During cornering, reduce speed so as to lessen the 
effects of centrifugal force. By all means, avoid abrupt 
application of brake or sudden steering.
Braking
For safe riding, it is very important to master the 
braking techniques.
1. Close / release the throttle.
2. Hold the vehicle upright as you apply the brake.
3. Progressive application of brake is safer.
4. Apply both the brakes. ‘SBT’ provides additional 
braking even when ‘only rear brake’ is applied,"
20,17,"Hold the vehicle upright while applying the brake. Apply the brake progressively for safety. Apply both the brakes, as 'SBT' provides additional braking when only the rear brake is applied, but applying both brakes allows for the full potential of the brakes to be used. When riding down hills, cornering, and on wet roads, close the throttle and reduce speed to avoid skidding and loss of control over the vehicle.",84,"2. Hold the vehicle upright as you apply the brake.
3. Progressive application of brake is safer.
4. Apply both the brakes. ‘SBT’ provides additional 
braking even when ‘only rear brake’ is applied, 
But applying ‘both the brakes’ helps you to use 
the full potential of the brakes.
5. Riding down hills, while cornering and wet roads, 
close throttle and come to a slower speed to 
avoid the loss of control over the vehicle due to 
skidding."
